company,country,city,km_to_budapest,website,email,phone,cans_330ml,carbonated,protein_dairy_capable,moq,setup_fee,price_per_can,lead_time,sources_ingredients,does_lab_compliance,certifications,startup_friendly,status,verified_from,notes
"Bayerndose GmbH (competence centre of Privatbrauerei H. Egerer)","Germany","Pilsting - Dachinger Str. 27, 94431 (facility at Grosskollnbach), Lower Bavaria",~650 - CLOSEST GERMAN CAN CO-PACKER (ESTIMATE),"www.bayern-dose.de (/leistungen.aspx, /kontakt.aspx)","info@bayern-dose.de - RE-VERIFY","+49 9953 3010 (local 09953 3010); fax 09953 30130","WITHIN RANGE 250-950 ml; SPECIFIC 330 ml SLEEK AVAILABILITY UNKNOWN - QUOTE REQUIRED","YES - brewery/mineral-water heritage, beer and soft drinks","UNKNOWN - QUOTE REQUIRED - dairy approval UNLIKELY at a brewery-heritage site","FROM 25000 CANS ('Abfullung ausgelegt auf Kleinmengen (ab 25.000 Dosen)')","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - IN-HOUSE ANALYSIS AND LABORATORY WORK, plus label/decor development and design support, QA, product-development consulting, DPG deposit handling","UNKNOWN - QUOTE REQUIRED","YES, EXPLICITLY - 'a high-quality service provider and contract filler for beverage cans with a focus on small and medium-sized breweries and beverage producers'","ROUND-2 TARGET - BEST COMBINATION OF PROXIMITY AND SMALL-BATCH POSTURE IN GERMANY","B2 s3.4, B7 s3.6 - SEARCH-VERIFIED; opening date LIKELY (neue-verpackung.de, einweg-mit-pfand.de)","Opened spring 2015 as a 'competence centre for beverage cans'. Line speed 13500 cans/hour. The in-house lab and design support materially de-risk a first-time founder. DPG service is irrelevant for a Hungary-first launch but valuable the day you sell into Germany. Contact through Bayerndose, NOT through the brewery."
"Canable GmbH","Germany","Blankenfelde-Mahlow (southern outskirts of Berlin)",~890 (ESTIMATE),"www.canable.co/de (/canning/softdrinks, /canning/funktionelle-getranke)","UNKNOWN - website uses contact forms","UNKNOWN","YES - Standard, Slim and Sleek, 150-500 ml","YES - soft drinks, energy drinks, seltzers, cider drinks, teas, cocktails, kombucha, wine, coffee","UNKNOWN - QUOTE REQUIRED - but runs a dedicated 'Funktionelle Getranke' canning page","FROM 6000 LITRES on the current site (~18180 x 330 ml). Trade press cited 3000 L in Aug 2023 - the minimum appears to have RISEN. Use 6000 L as the working number","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - founded specifically to serve low-minimum customers; EUWID headline 'Start-up Canable: contract filling of beverage cans from a low minimum quantity'","LOW PRIORITY - DOMINATED BY BEVERAGESCOUTS ON BOTH DISTANCE AND MINIMUM","B2 s3.3, B7 s3.6 - SEARCH-VERIFIED site text; 3000 L figure LIKELY (EUWID Verpackung, 09.08.2023)","Sales manager Marcel Bursch is named for booking consultations. If contacted, ask which figure is current - 3000 or 6000 L."
"FAUSTCATCHER DRINKS","Germany","EXACT ADDRESS UNKNOWN. Dialling code 06401 corresponds to the Hungen / Lich area of Hessen (~50 km N of Frankfurt) - INFERENCE, NOT A FINDING",~1000 (ESTIMATE - contingent on the Hessen inference),"www.faustcatcher.com/lohnabfuellung / www.faustcatcher-drinks.com/en/lohnabfuellung","UNKNOWN - the site deliberately obfuscates the address against spam bots","+49 6401-9059410 - RE-VERIFY","Can filling yes; CAN SIZES UNKNOWN - QUOTE REQUIRED","YES - explicitly 'with or without carbonation', plus nitrogen/nitro filling","UNKNOWN - QUOTE REQUIRED - cocktails are the flagship","'Small quantities of just a few thousand pieces are not a problem for us' - NO EXACT FIGURE PUBLISHED. GET THE NUMBER BY PHONE","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED. VAT ID DE292991181","YES - 'regardless of filling quantities, and whether you have a finished drink or just an idea, we work together to find the best solution'","WORTH ONE PHONE CALL - the published stance is unusually open","B2 s3.6, B7 s3.6 - SEARCH-VERIFIED (Impressum via search index)","'A few thousand pieces' would place them between Taste Your Brand and Fullkopf. Nitro capability is a bonus for a later nitro protein coffee SKU."
"S. Spitz GmbH","Austria","Attnang-Puchheim - Gmundner Strasse 27, 4800 (also Bad Gastein, Tenneck)",~450 (ESTIMATE),"www.spitz.at (/en/private-label-and-contract-filling/beverages/)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - contract filling in cans, PET or glass. 330 ml specifically UNKNOWN","YES (energy/soft drinks)","UNKNOWN - QUOTE REQUIRED. Spitz is a food AND beverage producer (jams, syrups, bakery) so dairy handling is plausible but UNEVIDENCED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Accompanies clients 'from market analysis to product development to launch'","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NOT STATED - full-service private-label posture suggests mid/large customers","LOW PRIORITY - NO PUBLISHED MINIMUM","B2 s2.3, B7 s3.6 - SEARCH-VERIFIED","165+ years; among Austria's largest food producers; private-label energy drinks, iced tea, functional drinks; 100% of value creation in Austria."
"Egger Getranke GmbH & Co OG (house brand: Radlberger)","Austria","St. Polten-Unterradlberg, Lower Austria",~310 - SECOND-CLOSEST NON-HUNGARIAN CAN FILLER (ESTIMATE),"https://eggergetraenke.at (EN: /en/)","UNKNOWN - QUOTE REQUIRED - site invites enquiries ('Just write to us')","UNKNOWN - QUOTE REQUIRED","YES - filling on eight production lines: cans, PET, one-way glass, returnable glass. 330 ml specifically UNKNOWN","YES","UNKNOWN - QUOTE REQUIRED - no dairy category listed; a brewery-heritage site is unlikely to be dairy-approved","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - contract filling and private label stated, no minimum published","WORTH ONE CALL PURELY ON GEOGRAPHY - the cheapest freight of any credible can filler outside Hungary","B2 s2.4 - SEARCH-VERIFIED","~355 million bottles and cans/year at Unterradlberg. Categories: beer, beer-mix, soft drinks, juices, malt drinks, soda water, near-water, iced teas, tea drinks, energy drinks, isotonic drinks, syrups, alcoholic mixes, wine. RADLBERGER IS AN EGGER HOUSE BRAND, NOT A SEPARATE CO-PACKER - do not contact it separately."
"German Beverage Group Ltd.","Germany","Augsburg - Alemannenstr. 6, 86199, Bavaria",~750 (ESTIMATE),"www.beverage-filling.com/produktion / www.german-beverage.com/about/","info@german-beverage.com - RE-VERIFY","+49 1520 2890336 - RE-VERIFY","YES - Standard, Sleek and Slim, 150-500 ml","YES - energy drinks, soft drinks, cider","UNKNOWN - QUOTE REQUIRED. Functional beverages listed","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LOW PRIORITY - LIKELY A BROKER","B2 s3.5, B7 s3.6 - PUBLISHED (europages / wlw.com directory listing)","*** STRUCTURE CAUTION (ESTIMATE / inference): trades as a 'Ltd.' with a MOBILE number as the published contact and NO PLANT NAMED - likely a broker/agent arranging filling at third-party plants rather than an asset-owning filler. VERIFY WHO ACTUALLY HOLDS THE IFS CERTIFICATE AND THE FILLING LINE BEFORE PAYING A DEPOSIT. *** Contact person Matthias Ferth."
"RHODIUS Mineralquellen und Getranke GmbH & Co. KG","Germany","Burgbrohl, Rhineland-Palatinate",~1120 (ESTIMATE),"www.rhodius-copacking.com (/en/faq.html, /de/lohnabfuellung/dose.html)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - 150-500 ml in Slim, Sleek and Classic; Sleek offered in 250, 330 and 355 ml; 330 ml Sleek has a 58 mm diameter. Also aluminium bottles","YES - water, soft drinks, beer, energy drinks, iced tea, wine and sparkling wine, RTDs","UNKNOWN - QUOTE REQUIRED - protein is NOT among the listed beverage types","*** 250000 CANS PER FILLING. *** Verbatim from their own FAQ: 'Grundsatzlich konnen wir Auftrage erst ab einer Mindestbestellmenge von 250.000 Dosen pro Abfullung ubernehmen.'","N/A","N/A","N/A","N/A","N/A","UNKNOWN - QUOTE REQUIRED","REPUTATION SAYS YES - THE PUBLISHED NUMBER SAYS NO","*** RULED OUT FOR LAUNCH. DO NOT CONTACT - you will simply be declined. Revisit at Series-A scale ***","B2 s3.7, B7 s3.6 - PUBLISHED ON SITE (FAQ), via search index - the hardest MOQ number in this whole file","THIS CLOSES THE 'RHODIUS IS THE STARTUP-FRIENDLY GERMAN CANNER' QUESTION WITH A PUBLISHED ANSWER. 250000 cans is ~25x Fullkopf and ~250x a BeverageScouts test run. >600 million cans/year; filling lines rated >100000 cans/hour; ~330 employees; one of Germany's largest can contract fillers. They are excellent. They are not for you yet."
"RAUCH Fruchtsafte GmbH & Co OG","Austria","Rankweil, Vorarlberg (second plant Nuziders)",~800 (ESTIMATE),"www.rauch.cc/b2b/commissioned-fillings/","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - cans, glass, PET and soft packaging","YES - explicitly 'sparkling' and non-sparkling","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","N/A","N/A","N/A","N/A","UNKNOWN - QUOTE REQUIRED","NO SIGNAL","RULED OUT AT THIS STAGE - recorded for completeness","B2 s2.5 - SEARCH-VERIFIED; Red Bull relationship LIKELY (trend.at, Wikipedia, ORF Vorarlberg)","RAUCH IS RED BULL'S LARGEST CONTRACT CAN FILLER. Their line economics are built around eight-figure annual volumes."
"Hermann Pfanner Getranke GmbH","Austria","Lauterach, Vorarlberg (runs a Hungarian-language B2B contract-bottling page)",~810 (ESTIMATE),"www.pfanner.com/de/b2b/lohnabfuellung/ AND pfanner.com/hu/b2b/berpalackozas/","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","IMPLIED by 'all common packaging formats' - CANS NOT EXPLICITLY CONFIRMED","LIKELY (energy drinks)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LOW PRIORITY - but the HUNGARIAN-LANGUAGE B2B PAGE is an easy first contact","B1 s4.6, B2 s2.6 - verified link only; page EGRESS-BLOCKED","Co-packing/contract filling of fruit juices, fruit-juice drinks, wines, energy drinks, iced teas, specialty drinks, other soft drinks 'in all common packaging formats'. Everything else UNKNOWN."
"Molkerei Gropper GmbH & Co. KG","Germany","Bissingen, Bavaria (+ Stockach)",~780 (ESTIMATE),"https://www.gropper.de/en","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO EVIDENCE OF ALUMINIUM CAN LINES","NOT EVIDENCED","YES ON DAIRY - makes a High Protein Drink in 332 ml (BOTTLE format per product database)","UNKNOWN - QUOTE REQUIRED - retail-scale minimums expected","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO SIGNAL","SEND ONE EMAIL - A CLEAN 'NO' CLOSES THE DAIRY-HOUSE HYPOTHESIS","B2 s3.9, B7 s3.7 - SEARCH-VERIFIED","One of Germany's leading private-label suppliers; produces for almost all major European retailers; processes ~355 m kg milk/yr from 874 farms; describes itself as producing dairy, direct juices and smoothies OR filling them as a contract packer. EXPECT BOTTLE-ONLY. This company is the clearest illustration of the structural finding: dairy-approved and carbonated-aluminium-can are two different industrial worlds."
"Ehrmann AG","Germany","Oberschonegg, Bavaria","UNKNOWN","https://www.ehrmann.de/produkte/high-protein/","UNKNOWN","UNKNOWN","NO","NO - STILL","YES - High Protein Drink range, 20 g protein, no added sugar, lactose-free, gluten-free, low fat","N/A - BRAND OWNER, NOT AN ADVERTISED CO-PACKER","N/A","N/A","N/A","N/A","N/A","UNKNOWN","N/A","NOT A SUPPLIER - A BENCHMARK PRODUCT. BUY SEVERAL","B2 s3.9, B7 s3.7 - SEARCH-VERIFIED","Their 20 g / no-added-sugar formulation is the closest existing German analogue to the target protein load. Contract-manufacturing offer UNKNOWN."
"Nutriprot","Germany","UNKNOWN","UNKNOWN","nutriprot.de","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO - POWDER AND CAPSULE ONLY","N/A","POWDER protein contract manufacturing","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","IFS, HACCP, Bio and GMP certified","UNKNOWN","LEAD - POWDER BRIDGE SKU ONLY","B2 s3.9, B6 s7.4 - SEARCH-VERIFIED","Relevant ONLY if a powder stick-pack bridge SKU is used. Not a canner."
"COGA Lohnabfullung (COGA-Gastromea)","Germany","UNKNOWN","UNKNOWN","lohnabfuellung-lebensmittel.de/lohnabfullung-bei-coga/ ; wlw.at listing","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","*** PROBABLY NOT ALUMINIUM BEVERAGE CANS *** - its 'Dosen' listing reads 'Lohnabfullung Dosen (Kunststoff, Pappmembran etc.)' = PLASTIC TINS WITH CARDBOARD-MEMBRANE SEALS, i.e. powders/food","NO","UNKNOWN - QUOTE REQUIRED","FROM 5000 UNITS","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES on the number","TRAP FOR THE CAN SEARCH - GENUINE LEAD FOR THE POWDER ROUTE","B2 s3.8, B6 s7.4 - SEARCH-VERIFIED (wlw.at product listing)","DO NOT CHASE AS A CAN FILLER without confirming the container type. The 5000-unit minimum is genuinely low but it is almost certainly for powder tins, not beverage cans."
"riha WeserGold Getrankegruppe","Germany","Rinteln",~1050 (ESTIMATE),"https://www.riha-wesergold.de/","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - PET, glass, cans, carton","YES","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","LOW PRIORITY - TOO FAR, NO PUBLISHED MINIMUM","B2 s3.8 - SEARCH-VERIFIED","Offers co-packing/Lohnabfullung: juices, iced teas, energy drinks, 'innovative concepts'. One of Germany's largest juice/nectar makers. Acquired the Refresco Waibstadt plant."
"Refresco Deutschland","Germany","multiple",~1000+ (ESTIMATE),"https://www.refresco.de/de/lohnabfuellung-neu-test/","UNKNOWN","UNKNOWN","YES (group-wide)","YES","UNKNOWN","UNKNOWN - enterprise-scale minimums expected","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO","RULED OUT - Europe's largest independent bottler, realistically out of reach","B2 s3.8 - SEARCH-VERIFIED","Recorded for completeness only."
"OeTTINGER Brauerei GmbH","Germany","Oettingen, Bavaria (also Monchengladbach, Braunschweig)","~730 (ESTIMATE, Oettingen)","UNKNOWN","UNKNOWN","UNKNOWN","YES - expanding can capacity at Monchengladbach","YES (beer)","UNLIKELY - beer-led; a dairy-protein soda is a poor fit for a brewery hygiene regime","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","LOW PRIORITY","B2 s3.8 - LIKELY (named in trade discussion as an active contract-bottling player)","Recorded for completeness."
"Frankfurter Brauhaus GmbH","Germany","Frankfurt (Oder)",~750 (ESTIMATE),"UNKNOWN","UNKNOWN","UNKNOWN","YES","YES (beer)","UNLIKELY","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN - discounter private-label beer focus","LOW PRIORITY","B2 s3.8 - LIKELY","Founded 1974 as a bottling operation (Oderland-Brauerei); own brewing from 1988. Named alongside Darguner and Oettinger as a contract-bottling competitor."
"Karlsberg Brauerei","Germany","Homburg (Saar)",~1150 (ESTIMATE),"UNKNOWN","UNKNOWN","UNKNOWN","Cans reportedly filled via a French sister plant (Brasserie Saverne, Alsace)","YES (beer)","UNLIKELY","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","LOW PRIORITY - beer-led, far, can filling appears to sit off-site","B2 s3.8 - LIKELY","Recorded for completeness."
"Vulkan-Brauerei","Germany","Mendig (Eifel)",~1100 (ESTIMATE),"vulkan-brauerei.de/brauerei/lohnabfuellung-bier-flasche-fass/","UNKNOWN","UNKNOWN","YES - bottle, keg and can","YES (beer)","NO","UNKNOWN - QUOTE REQUIRED","N/A","N/A","N/A","N/A","N/A","UNKNOWN","N/A","RULED OUT - EXPLICITLY BEER & BEER-MIX DRINKS ONLY","B2 s3.8 - SEARCH-VERIFIED","Recorded so nobody wastes an email."
"OH!S / oh-service.com","Germany","UNKNOWN","UNKNOWN","oh-service.com/lohnabfuellung/","UNKNOWN","UNKNOWN","UNKNOWN - CANS NOT CONFIRMED","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","IFS and Bio certified","UNKNOWN","LOW PRIORITY - CAN CAPABILITY UNCONFIRMED","B2 s3.8 - SEARCH-VERIFIED","Lohnabfullung & co-packing since 1995."
"Ammersee Kelterei (lohnabfuellung-bayern.de)","Germany","Bavaria",~700 (ESTIMATE),"www.lohnabfuellung-bayern.de/","UNKNOWN","UNKNOWN","NO - BOTTLES","UNKNOWN","NO","N/A","N/A","N/A","N/A","N/A","N/A","UNKNOWN","N/A","NOT RELEVANT - cidery/juice, bottle-focused","B2 s3.8 - SEARCH-VERIFIED","Recorded so nobody wastes an email."
"Husumer Lohnabfullung (lohnabfuellung.de)","Germany","Husum, northern Germany",~1300 (ESTIMATE),"www.lohnabfuellung.de/faq/","UNKNOWN","UNKNOWN","UNKNOWN - NOT ESTABLISHED AS A CAN FILLER","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","LOW PRIORITY - very far","B2 s3.8 - SEARCH-VERIFIED","Has a public FAQ."
"Schlenkerhof Kelterei","Germany","Ravensburg / Bodensee",~900 (ESTIMATE),"UNKNOWN","UNKNOWN","UNKNOWN","NO - BOTTLES","UNKNOWN","NO","N/A","N/A","N/A","N/A","N/A","N/A","UNKNOWN","N/A","NOT RELEVANT","B2 s3.8 - SEARCH-VERIFIED","Recorded so nobody wastes an email."
"Blankodosen.de","Germany","UNKNOWN","UNKNOWN","https://www.blankodosen.de/","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","SUPPLIES BLANK (UNDECORATED) CANS - format range UNKNOWN","N/A","N/A","UNKNOWN - QUOTE REQUIRED - THE KEY NUMBER TO ASK FOR","N/A","UNKNOWN - QUOTE REQUIRED","UNKNOWN","N/A - IS the can supplier","N/A","UNKNOWN","N/A","LEAD - THE BLANK-CAN + SLEEVE WORKAROUND","B2 s4, B6 s8, B7 s5.1 - SEARCH-VERIFIED","NOT A CO-PACKER. Listed because the blank-can + shrink-sleeve route is what makes a 1700-can run possible at all: directly PRINTED cans are orderable only from ~200000 pieces in Germany and 150000 per variety and order in Austria. Only useful if a filler will accept customer-supplied cans - ASK THAT FIRST."
"Olgerdin Egill Skallagrimsson","Iceland","UNKNOWN","UNKNOWN (freight Iceland-Hungary is bad; the ANSWER is what matters)","olgerdin.is (news: /um-okkur/frettir/frett/ny-mist-uppbygging) ; collab.is/english","CONTACT NOT CAPTURED - FIND IT ON THEIR OWN SITE. NOT GUESSED","CONTACT NOT CAPTURED - NOT GUESSED","YES - COLLAB is a 330 ml can, exactly the target format","YES - carbonated","*** THE ONLY EUROPEAN COMPANY IDENTIFIED THAT ALREADY MANUFACTURES A CARBONATED COLLAGEN DRINK IN A CAN. *** Mist Uppbygging: 15 g HYDROLYSED COLLAGEN, carbonated, canned, natural caffeine (green coffee + yerba mate), B-vitamins, forest berry and chai. COLLAB: 330 ml can, 5.9 g marine collagen, 105 mg caffeine, zero sugar, six B vitamins","UNKNOWN - QUOTE REQUIRED - NEVER ASKED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","N/A","N/A","UNKNOWN - QUOTE REQUIRED","UNKNOWN","COLD-EMAIL THEM - the only real price/MOQ benchmark that exists for this exact product category in Europe","B7 s2 (via C1) - SEARCH-VERIFIED (kronan.is, olgerdin.is, visir.is, collab.is, nammi.is, icelandicstore.is, topiceland.com)","Iceland's largest beverage producer, founded 1913. COLLAB is a JV of Olgerdin + FEEL Iceland, launched 2019, and ALREADY SELLS INTO GERMANY AND DENMARK (collab.is/region/de, /region/dk) - meaning it has already walked the EU labelling and packaging-compliance path for a carbonated collagen can. Icelandic press headline: 'Kolsyrdur islenskur proteindrykkur slaer i gegn' = 'Carbonated Icelandic protein drink is a hit'. THE ASK: do you contract-manufacture / white-label for third parties, at what MOQ and price?"
"FEEL Iceland","Iceland","UNKNOWN","UNKNOWN","UNKNOWN - find on their own site","CONTACT NOT CAPTURED - NOT GUESSED","CONTACT NOT CAPTURED - NOT GUESSED","N/A - marine collagen supplier / JV partner","N/A","MARINE COLLAGEN SUPPLIER, co-owner of the Collab JV","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","UNKNOWN","YES - potential independent collagen peptide supplier","N/A","UNKNOWN","UNKNOWN","LEAD - ASK BOTH ABOUT WHITE-LABEL AND ABOUT SELLING COLLAGEN AS AN INGREDIENT","B7 s2.1, s7 - SEARCH-VERIFIED","Supplies the marine collagen for Collab. NOTE: the agreed formula ARCH F uses BOVINE collagen, not marine - marine collagen is typically more expensive and carries a FISH ALLERGEN declaration. Ask for bovine pricing or treat as benchmark only."
"POLAND - ENTIRE COUNTRY","Poland","N/A","~390-420 to the Krakow/Malopolska cluster; ~450-470 Silesia; ~545 Warsaw (ESTIMATE, unmeasured)","N/A","N/A","N/A","N/A","N/A","N/A","*** NO MOQ OBTAINED - ZERO ***","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*** UNRESEARCHED - RE-RUN REQUIRED. ZERO VERIFIED SUPPLIERS, ZERO MOQs, ZERO CONTACTS. ***","B4 - EXPLICIT NULL RESULT (WebSearch budget exhausted before the agent ran; all .pl domains egress-blocked)","B4 states verbatim: 'Do not merge any name from Section 4 into a supplier shortlist, a cost model, or an outreach list.' NO POLISH COMPANY NAME IS LISTED IN THIS FILE, BY DESIGN. The structural thesis remains untested but plausible: Poland has the largest soft-drink contract-manufacturing base in CEE, a deep discount-retail private-label culture, major aluminium can production, and lower labour/utility costs under identical EU food law. B4 s3 contains a ready-to-execute Polish query plan. RE-RUN THIS FIRST if any further research budget appears."
"LITHUANIA / LATVIA / ESTONIA","Baltics","N/A","~1000 Vilnius, ~1270 Riga, ~1550 Tallinn (ESTIMATE, unmeasured)","N/A","N/A","N/A","N/A","N/A","N/A","*** NO MOQ OBTAINED - ZERO ***","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*** UNRESEARCHED - RE-RUN REQUIRED, LOW PRIORITY ***","B4 - EXPLICIT NULL RESULT","Structurally weak for this project regardless: 1000-1600 km vs 400-600 km for southern Poland, so part-pallet freight is roughly 2-3x worse against no obvious cost or MOQ advantage. Search only after Poland is exhausted."
"SLOVAKIA / CZECHIA","Slovakia / Czechia","N/A","~200 Bratislava; ~250-350 Trencin/Zilina; ~300 Brno; ~350 Ostrava; ~525 Prague; ~640 Karlovy Vary (ESTIMATE, unmeasured)","N/A","N/A","N/A","N/A","N/A","N/A","*** NO MOQ OBTAINED - ZERO ***","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*** UNRESEARCHED - RE-RUN REQUIRED. HIGH PRIORITY ON DISTANCE ALONE ***","B3 - EXPLICIT NULL RESULT (same block: budget exhausted, kofola.cz / mattoni.cz / gymbeam.sk egress-blocked)","B3 produced ZERO verified supplier records and states plainly: 'no company in this document has been verified to exist in the form described'. NO SLOVAK OR CZECH COMPANY NAME IS LISTED IN THIS FILE, BY DESIGN. Bratislava at ~200 km is closer than Bubee's Kiskoros at ~110 km is far - this is the nearest unexplored market and should be the SECOND re-run after Poland. NOTE the overlap: Opre' Cidery s.r.o. is Slovak, so the Opre' route may already be a Slovak fill."
"ROMANIA / CROATIA / SLOVENIA / SERBIA / BULGARIA / ITALY / SPAIN / BENELUX / UK / IRELAND","SE Europe + Western Europe","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*** NO MOQ OBTAINED - ZERO ***","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*** UNRESEARCHED - RE-RUN REQUIRED ***","B5 - EXPLICIT NULL RESULT (WebSearch budget exhausted; konings.eu, radnorhills.co.uk, romaquagroup.ro all blocked)","B5 produced ZERO companies verified, zero contacts, zero MOQs, zero prices, and explicitly declined to produce a ranking. Structural note from B5: most named SE-European targets are LARGE NATIONAL BOTTLERS OF THEIR OWN BRANDS whose contract-filling minimums are typically full-truckload or full-shift scale - structurally mismatched with this budget. POST-BREXIT CAVEAT if the UK is ever researched: GB-to-EU food movement carries customs formalities, an EU import agent/EORI requirement, and an EU-established food business operator address on the can. Ireland avoids this."
